,mouth_curve,mouth_length,mouth_height,eyebrow_l,eyebrow_r,eye_length,eye_height,label
0,-0.166666667,9,-5,0,-0.571428571,3,-2,2
1,-0.166666667,6,-5,0.235294118,-1,3,-4,2
2,-0.166666667,16,-15,0.107142857,-0.818181818,5,-1,2
3,-0.285714286,12,-8,-0.142857143,-0.888888889,4,0,2
4,0.5,12,-5,0.434782609,-0.4,2,-10,2
5,0,12,-6,0.111111111,-0.857142857,4,-3,2
6,-0.454545455,18,-13,-0.142857143,-1.3,6,-2,2
7,0,7,-5,0.294117647,-0.75,2,-3,2
8,-0.111111111,11,2,0.083333333,-0.555555556,4,-3,2
9,0.333333333,8,-6,0.4375,-0.3,2,-6,2
10,-0.5,10,-10,-0.15,-1,3,2,2
11,-0.375,13,-7,-0.125,-1.25,4,1,2
12,-0.071428571,18,-10,0.125,-0.6,3,-2,2
13,-0.444444444,14,-9,-0.086956522,-1.125,4,0,2
14,-0.222222222,12,-6,0.090909091,-0.857142857,3,-2,2
15,-0.5,15,-16,-0.125,-1.666666667,3,0,2
16,-0.4,8,-1,-0.1875,-0.8,3,2,2
17,-0.083333333,16,-10,0.037037037,-0.666666667,4,-2,2
18,0,17,-13,0.291666667,-0.8,3,-2,2
19,-0.125,23,-15,0.064516129,-0.833333333,4,-2,2
20,-0.5,12,-6,-0.166666667,-1,4,0,2
21,-0.166666667,17,-11,0,-0.666666667,2,-2,2
22,0.090909091,12,-5,0.375,-0.333333333,3,-6,2
23,0.142857143,10,-4,0.3,-0.4,3,-5,2
24,-0.4,9,-4,0.1,-1,2,-1,2
25,-0.125,12,-6,0.035714286,-0.7,4,-3,2
26,-0.083333333,17,-7,0.086956522,-0.666666667,4,-3,2
27,-0.333333333,12,-7,-0.125,-1,4,-1,2
28,0,12,-11,0.227272727,-0.375,4,-3,2
29,0,12,-8,0.208333333,-0.5,4,-1,2
30,-0.222222222,12,-11,0.05,-0.875,3,-3,2
31,-0.125,9,-6,0.047619048,-1.2,3,-2,2
32,-0.1,14,-5,0.041666667,-0.777777778,4,-2,2
33,-0.285714286,9,-6,-0.058823529,-1.25,3,1,2
34,-0.333333333,11,-7,-0.038461538,-0.8,4,-1,2
35,-0.125,10,-7,0,-1.111111111,4,-3,2
36,-0.1,16,-6,0.041666667,-1,4,0,2
37,0,10,-4,0.15,-0.714285714,3,-3,2
38,-0.285714286,10,-8,-0.05,-1.2,3,-1,2
39,-0.083333333,15,-19,0.148148148,-1,4,-4,2
40,-0.2,13,-11,0.105263158,-0.714285714,3,-1,2
41,-0.444444444,15,-7,-0.32,-1.5,5,3,2
42,0,18,-14,0,-0.6,3,-3,2
43,0,11,-2,0.148148148,-0.727272727,3,-4,2
44,-0.111111111,10,-2,0.173913043,-0.857142857,3,-2,2
45,-0.2,10,-15,-0.047619048,-2.333333333,3,0,2
